,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
32,14,Ely Dam,Chloe,Robinson,39,Daughter,Single,female,Production engineer,None,None
33,15,Ely Dam,Ellie,Edwards,51,Head,Single,Female,"Designer, exhibition/display",None,Christian
34,16,Ely Dam,Terence,Stewart,58,Head,Single,Male,Barrister,None,None
35,16,Ely Dam,Scott,Wilson,24,None,Single,Male,Clinical research associate,None,Christian
36,17,Ely Dam,Marian,Jones,50,Head,Married,Female,Toxicologist,None,Catholic
37,17,Ely Dam,Wayne,Jones,56,Husband,Married,Male,"Engineer, electrical",None,Catholic
38,17,Ely Dam,Sylvia,Jones,28,Daughter,Single,Female,"Social research officer, government",None,None
39,17,Ely Dam,Samuel,Jones,27,Son,Divorced,Male,"Education officer, museum",None,Catholic
40,17,Ely Dam,Alexander,Jones,16,Son,NA,M,Student,None,NA
41,18,Ely Dam,Michael,Parkin,47,Head,Divorced,Male,"Psychotherapist, dance movement",None,None
42,18,Ely Dam,Diana,Parkin,10,Step-Daughter,NA,Female,Student,None,NA
43,19,Ely Dam,Stanley,Gill-Marshall,40,Head,Married,Male,Quantity surveyor,None,Catholic
44,19,Ely Dam,Pauline,Gill-Marshall,42,Wife,Married,Female,Musician,None,None
45,19,Ely Dam,Jenna,Gill-Marshall,13,Daughter,NA,Female,Student,None,NA
46,20,Ely Dam,Eileen,Edwards,42,Head,Single,Female,Teaching laboratory technician,None,Christian
47,20,Ely Dam,Patrick,Edwards,7,Son,NA,Male,Student,None,NA
48,20,Ely Dam,Joshua,Edwards,6,Son,NA,Male,Student,None,NA
49,21,Ely Dam,Hollie,Thompson,58,Head,Married,Female,"Surveyor, minerals",None,Christian
50,21,Ely Dam,Alexander,Thompson,62,Husband,Married,Male,Geochemist,None,Christian
51,21,Ely Dam,Rhys,Thompson,16,Son,NA,Male,Student,None,NA
52,21,Ely Dam,Abigail,Thompson,15,Daughter,NA,Female,Student,None,NA
53,21,Ely Dam,Sean,Thompson,11,Son,NA,Male,Student,None,NA
54,22,Ely Dam,Holly,Collins,22,Head,Married,Female,University Student,None,None
55,22,Ely Dam,Jonathan,Collins,22,Husband,Married,Male,University Student,None,None
56,23,Ely Dam,Ricky,Johnson,40,Head,Married,Male,"Social research officer, government",None,None
57,23,Ely Dam,Leah,Johnson,35,Wife,Married,Female,Chief Financial Officer,None,None
58,24,Ely Dam,Emma,Kay,30,Head,Single,Female,PhD Student,None,Catholic
59,24,Ely Dam,Callum,Hall,21,None,Single,Male,University Student,None,Catholic
60,1,Magpie Drive,Karen,Webster,70,Head,Widowed,Female,Retired Animal nutritionist,None,Christian
61,1,Magpie Drive,Julia,Webster,32,Daughter,Divorced,Female,Company secretary,None,None
62,2,Magpie Drive,Francis,Haynes,44,Head,Single,Male,Unemployed,None,Catholic
63,2,Magpie Drive,Hollie,Winter,43,None,Single,female,Unemployed,None,None
64,3,Magpie Drive,Frederick,Robson,58,Head,Divorced,Male,Museum education officer,None,Catholic
65,4,Magpie Drive,Harriet,Ryan,28,Head,Married,Female,Building services engineer,None,None
66,4,Magpie Drive,Dean,Ryan,32,Husband,Married,Male,Chiropractor,None,None
67,4,Magpie Drive,Leon,Ryan,6,Son,NA,Male,Student,None,NA
68,4,Magpie Drive,Donna,Ryan,2,Daughter,NA,Female,Child,None,NA
69,5,Magpie Drive,Barry,Lees,58,Head,Married,Male,"Buyer, retail",None,None
70,5,Magpie Drive,Harriet,Lees,54,Wife,Married,Female,Sports development officer,None,None
71,5,Magpie Drive,Jill,Wood,12,Granddaughter,NA,Female,Student,None,NA
72,6,Magpie Drive,Aimee,Roberts,44,Head,Divorced,Female,"Administrator, education",None,None
73,6,Magpie Drive,Francis,Roberts,10,Son,NA,Male,Student,None,NA
74,7,Magpie Drive,Ryan,Barnes,43,Head,Single,Male,Television floor manager,None,Catholic
75,7,Magpie Drive,Anna,Stevenson,38,Partner,Single,Female,"Optician, dispensing",None,None
76,8,Magpie Drive,Rosemary,Thompson,39,Head,Divorced,Female,Unemployed,None,None
77,8,Magpie Drive,Leon,Thompson,15,Son,NA,Male,Student,None,NA
78,9,Magpie Drive,Hazel,Clark,34,Head,Married,Female,Diagnostic radiographer,None,None
79,9,Magpie Drive,Timothy,Clark,34,Husband,Married,Male,Bonds trader,None,None
80,9,Magpie Drive,Nigel,Clark,6,Son,NA,Male,Student,None,NA
81,10,Magpie Drive,Leah,McCarthy,49,Head,Married,Female,Media buyer,None,None
82,10,Magpie Drive,Patrick,McCarthy,51,Husband,Married,Male,Dealer,None,None
83,10,Magpie Drive,Ruth,Evans-McCarthy,18,Daughter,Single,Female,Student,None,None
84,10,Magpie Drive,Rachael,Evans-McCarthy,16,Daughter,NA,female,Student,None,NA
85,11,Magpie Drive,Callum,Byrne,65,Head,Divorced,Male,Physiological scientist,None,None
86,1,Smith Forges,Jasmine,Taylor,34,Head,Single,Female,Unemployed,None,None
87,1,Smith Forges,Jack,Taylor,7,Son,NA,Male,Student,None,NA
88,2,Smith Forges,Trevor,Adams,41,Head,Single,Male,"Psychologist, sport and exercise",None,Methodist
89,3,Smith Forges,Katie,Bates,69,Head,Married,Female,"Retired Pilot, airline",None,None
90,3,Smith Forges,Brandon,Bates,71,Husband,Married,Male,Retired Fitness centre manager,None,None
91,4,Smith Forges,Judith,Akhtar,65,Head,Widowed,Female,"Engineer, biomedical",None,None
92,5,Smith Forges,Clare,Shepherd,62,Head,Married,Female,International aid/development worker,None,None
93,5,Smith Forges,Max,Shepherd,64,Husband,Married,Male,Retail banker,None,None
94,5,Smith Forges,Stanley,Shepherd,33,Son,Single,Male,"Therapist, sports",None,None
95,5,Smith Forges,Charlene,Shepherd,31,Daughter,Single,Female,Hydrologist,None,None
96,5,Smith Forges,Kate,Shepherd,30,Daughter,Single,Female,Editorial assistant,None,None
97,6,Smith Forges,Carl,Griffin,41,Head,Married,Male,Unemployed,None,None
98,6,Smith Forges,Harriet,Griffin-Watkins,36,Wife,Married,Female,Public librarian,None,None
99,6,Smith Forges,Dominic,Griffin-Watkins,3,Son,NA,Male,Child,None,NA
100,7,Smith Forges,James,Baxter,104,Head,Widowed,Male,Retired Building surveyor,None,Christian
101,8,Smith Forges,Dorothy,Gibson,36,Head,Single,Female,Estate agent,None,Christian
102,8,Smith Forges,Simon,Saunders,10,Nephew,NA,Male,Student,None,NA
103,9,Smith Forges,Melanie,Hussain,22,Head,Single,Female,University Student,None,None
104,9,Smith Forges,Lynne,Griffiths,19,None,Single,Female,University Student,None,None
105,10,Smith Forges,Janet,Smith,53,Head,Married,Female,Art gallery manager,None,None
106,10,Smith Forges,Benjamin,Smith,56,Husband,Married,Male,"Editor, film/video",None,None
107,11,Smith Forges,Leanne,Collier,35,Head,Married,Female,Corporate treasurer,None,None
108,11,Smith Forges,Kenneth,Collier,38,Husband,Married,Male,Toxicologist,None,None
109,11,Smith Forges,Wendy,Kirby,28,Lodger,Single,Female,Mental health nurse,None,Christian
110,11,Smith Forges,Justin,Evans,47,Lodger,Divorced,Male,Barista,None,None
111,12,Smith Forges,Michelle,Dale,55,Head,Single,Female,Transport planner,None,None
112,12,Smith Forges,Kate,Johnson,48,None,Single,Female,Armed forces logistics/support/administrative officer,None,None
113,13,Smith Forges,Shannon,Foster,76,Head,Married,Female,Retired Health physicist,None,None
114,13,Smith Forges,George,Foster,77,Husband,Married,Male,"Retired Buyer, industrial",None,None
115,14,Smith Forges,Naomi,Simpson,33,Head,Single,Female,Cabin crew,None,None
116,14,Smith Forges,Joshua,Scott,36,Partner,Single,Male,Unemployed,None,None
117,14,Smith Forges,Adrian,Simpson,6,Son,NA,Male,Student,None,NA
118,14,Smith Forges,Jayne,Simpson,3,Daughter,NA,Female,Child,None,NA
119,14,Smith Forges,Arthur,Howe,49,Lodger,Single,Male,Psychotherapist,None,Catholic
120,1,Duncan Bridge,Mary,Spencer,34,Head,Married,Female,Contractor,None,None
121,1,Duncan Bridge,George,Spencer,41,Husband,Married,Male,"Surveyor, commercial/residential",None,None
122,1,Duncan Bridge,Shane,Spencer,6,Son,NA,Male,Student,None,NA
123,2,Duncan Bridge,Jill,Lewis,46,Head,Married,Female,"Designer, industrial/product",None,Catholic
124,2,Duncan Bridge,Ronald,Lewis,48,Husband,Married,Male,Diplomatic Services operational officer,None,Catholic
125,2,Duncan Bridge,Rhys,Lewis,8,Son,NA,Male,Student,None,NA
126,2,Duncan Bridge,Ann,Lewis,6,Daughter,NA,Female,Student,None,NA
127,2,Duncan Bridge,Melissa,Lewis,2,Daughter,NA,Female,Child,None,NA
128,3,Duncan Bridge,Stacey,West,32,Head,Single,Female,Horticultural therapist,None,Methodist
129,3,Duncan Bridge,Hilary,Cooper,41,Visitor,Single,Female,Unemployed,None,None
130,3,Duncan Bridge,Beth,Sharp,39,Visitor,Single,Female,Museum education officer,None,None
131,3,Duncan Bridge,Stacey,Bishop,33,Lodger,Single,Female,Building surveyor,None,None
132,4,Duncan Bridge,Naomi,Evans,42,Head,Married,f,Town planner,None,Catholic
133,4,Duncan Bridge,Connor,Evans,42,Husband,Married,Male,Equality and diversity officer,None,Catholic
134,4,Duncan Bridge,Mary,Hancock-Evans,13,Daughter,NA,Female,Student,None,NA
135,4,Duncan Bridge,Lee,Hancock-Evans,12,Son,NA,Male,Student,None,NA
136,5,Duncan Bridge,Michelle,Smith,41,Head,Single,Female,Technical brewer,None,Christian
137,5,Duncan Bridge,David,Davis,58,None,Single,Male,Psychiatric nurse,None,Christian
138,5,Duncan Bridge,Colin,Dale,18,None,Single,Male,Student,None,NA
139,5,Duncan Bridge,Abbie,Cross,29,None,Single,Female,Outdoor activities/education manager,None,None
140,6,Duncan Bridge,Beverley,Lewis,62,Head,Married,Female,Geoscientist,None,None
141,6,Duncan Bridge,Nicholas,Lewis,67,Husband,Married,Male,"Civil engineer, contracting",None,None
142,6,Duncan Bridge,Dorothy,Lewis,17,Daughter,NA,Female,Student,None,NA
143,6,Duncan Bridge,Francesca,Lewis,14,Daughter,NA,Female,Student,None,NA
144,7,Duncan Bridge,Beverley,Clark,50,Head,Married,Female,Financial adviser,None,None
145,7,Duncan Bridge,Bruce,Clark,48,Husband,Married,Male,Unemployed,None,None
146,7,Duncan Bridge,Abdul,Clark,16,Son,NA,Male,Student,None,NA
147,7,Duncan Bridge,Gavin,Clark,13,Son,NA,Male,Student,None,NA
148,8,Duncan Bridge,Jasmine,Williams,39,Head,Divorced,Female,Health and safety adviser,None,Christian
149,8,Duncan Bridge,Antony,Lewis,60,None,Single,Male,Technical sales engineer,None,Christian
150,8,Duncan Bridge,Eric,Chamberlain,29,None,Single,Male,"Merchandiser, retail",None,None
151,9,Duncan Bridge,Sheila,Chapman,33,Head,Single,Female,Arts administrator,None,Catholic
152,9,Duncan Bridge,Ian,Chapman,4,Son,NA,Male,Child,None,NA
153,9,Duncan Bridge,Andrea,Chapman,0,Daughter,NA,Female,Child,None,NA
154,10,Duncan Bridge,Sian,Kirk,63,Head,Divorced,Female,Unemployed,None,Christian
155,10,Duncan Bridge,Geoffrey,Kirk,38,Son,Single,Male,"Journalist, broadcasting",None,Christian
156,10,Duncan Bridge,Lydia,Kirk,38,Daughter,Single,Female,Unemployed,None,Christian
157,10,Duncan Bridge,Ellie,Kirk,34,Daughter,Single,Female,Speech and language therapist,None,None
158,10,Duncan Bridge,Michael,Kirk,32,Son,Divorced,m,Electrical engineer,None,Christian
159,10,Duncan Bridge,Alan,Kirk,32,Son,Single,Male,Mudlogger,None,Christian
160,11,Duncan Bridge,Valerie,Ellis-Davison,59,Head,Married,Female,Call centre manager,None,Christian
161,11,Duncan Bridge,Josh,Ellis-Davison,63,Husband,Married,Male,Logistics and distribution manager,None,Christian
162,11,Duncan Bridge,Leah,Ellis-Davison,16,Daughter,NA,Female,Student,None,NA
163,11,Duncan Bridge,Abdul,Ellis-Davison,15,Son,NA,Male,Student,None,NA
164,12,Duncan Bridge,Marie,Ward,33,Head,Married,Female,Immunologist,Blind,None
165,12,Duncan Bridge,Mohammed,Ward,31,Husband,Married,Male,Furniture conservator/restorer,None,None
166,12,Duncan Bridge,Stephanie,Ward,1,Daughter,NA,Female,Child,None,NA
167,13,Duncan Bridge,Helen,Smith,33,Head,Single,Female,Research scientist (physical sciences),None,None
168,13,Duncan Bridge,Owen,Mason,30,Partner,Single,Male,Camera operator,None,None
169,13,Duncan Bridge,Zoe,Smith,2,Daughter,NA,Female,Child,None,NA
170,13,Duncan Bridge,Ann,Smith,0,Daughter,NA,Female,Child,None,NA
171,13,Duncan Bridge,Clare,Brown,45,Sibling,Single,Female,Microbiologist,None,Christian
172,14,Duncan Bridge,Rebecca,Fry,45,Head,Married,Female,Purchasing manager,None,Christian
173,14,Duncan Bridge,Albert,Fry,46,Husband,Married,male,Geographical information systems officer,None,Christian
174,14,Duncan Bridge,Garry,Fry,23,Son,Divorced,Male,Structural engineer,None,Christian
175,14,Duncan Bridge,Simon,Fry,3,Son,NA,Male,Child,None,NA
176,15,Duncan Bridge,Clare,Hunt,45,Head,Divorced,Female,"Psychologist, educational",None,None
177,15,Duncan Bridge,Robert,Hunt,15,Son,NA,Male,Student,None,NA
178,15,Duncan Bridge,Gavin,Hunt,13,Son,NA,Male,Student,None,NA
179,16,Duncan Bridge,Brenda,Griffiths,52,Head,Divorced,Female,"Lecturer, further education",None,Christian
180,16,Duncan Bridge,Tracey,Griffiths,25,Daughter,Divorced,Female,Company secretary,None,Christian
181,16,Duncan Bridge,Louise,Griffiths,25,Daughter,Single,Female,Administrator,None,Christian
182,17,Duncan Bridge,Jasmine,King,43,Head,Married,Female,Telecommunications researcher,None,Catholic
183,17,Duncan Bridge,Gordon,King,48,Husband,Married,Male,Accounting technician,None,Catholic
184,17,Duncan Bridge,Alexandra,King,0,Daughter,NA,Female,Child,None,NA
185,17,Duncan Bridge,Antony,Barnes,54,Lodger,Single,Male,"Psychologist, forensic",None,Christian
186,18,Duncan Bridge,Patrick,Bradley,19,Head,Married,Male,University Student,None,None
187,18,Duncan Bridge,Vanessa,Bradley,19,Wife,Married,Female,University Student,None,None
188,18,Duncan Bridge,Garry,Bradley,0,Nephew,NA,Male,Child,None,NA
189,18,Duncan Bridge,Katy,Jordan,51,Lodger,Single,Female,Sales promotion account executive,None,Christian
190,18,Duncan Bridge,Eileen,Crawford,60,Lodger,Single,Female,Civil Service administrator,None,Christian
191,18,Duncan Bridge,Carly,Williams,29,Lodger,Single,Female,Clinical embryologist,None,None
192,19,Duncan Bridge,Lynda,Jones,66,Head,Single,Female,Publishing rights manager,None,Christian
193,19,Duncan Bridge,Eric,Owen,65,Partner,Single,Male,Acupuncturist,None,None
194,19,Duncan Bridge,Mohammed,Jones,36,Son,Single,Male,Sales executive,None,Christian
195,19,Duncan Bridge,Kieran,Jones,35,Son,Single,Male,"Conservation officer, nature",None,None
196,19,Duncan Bridge,Pamela,Jones,31,Daughter,Widowed,Female,Education administrator,None,None
197,19,Duncan Bridge,Clifford,Jones,12,Son,NA,Male,Student,None,NA
198,20,Duncan Bridge,Shannon,Mills,27,Head,Single,Female,Environmental consultant,None,None
199,20,Duncan Bridge,Tina,Begum,56,None,Single,Female,TEFL teacher,None,Christian
200,20,Duncan Bridge,Holly,Benson,39,None,Single,Female,Music therapist,None,None
201,20,Duncan Bridge,Christopher,Rees,27,None,Single,Male,Armed forces operational officer,None,None
202,21,Duncan Bridge,Leanne,Burgess,61,Head,Single,Female,Tree surgeon,None,None
203,21,Duncan Bridge,Shaun,Bowen,33,None,Single,Male,Engineering geologist,None,None
204,22,Duncan Bridge,Amanda,Chandler,25,Head,Married,Female,Arts administrator,None,Christian
205,22,Duncan Bridge,Martyn,Chandler,33,Husband,Married,Male,English as a second language teacher,None,None
206,22,Duncan Bridge,Derek,Chandler,8,Son,NA,Male,Student,None,NA
207,22,Duncan Bridge,Carl,Chandler,7,Son,NA,Male,Student,None,NA
208,22,Duncan Bridge,Bethan,Chandler,5,Daughter,NA,Female,Student,None,NA
209,23,Duncan Bridge,Joanne,Jones,55,Head,Single,Female,Hydrographic surveyor,None,None
210,24,Duncan Bridge,Angela,Collins,42,Head,Divorced,Female,Fish farm manager,None,None
211,24,Duncan Bridge,Elliott,Collins,19,Son,Single,Male,Orthoptist,None,None
212,24,Duncan Bridge,Lynn,Collins,14,Daughter,NA,Female,Student,None,NA
213,24,Duncan Bridge,Josephine,Collins,14,Daughter,NA,Female,Student,None,NA
214,25,Duncan Bridge,Jonathan,Preston,71,Head,Widowed,Male,Retired Structural engineer,None,Christian
215,26,Duncan Bridge,Anne,Atkinson,18,Head,Single,Female,University Student,None,Muslim
216,26,Duncan Bridge,Emma,Price,19,None,Single,Female,University Student,None,Catholic
217,26,Duncan Bridge,Lesley,Smith,21,None,Single,Female,University Student,None,Christian
218,26,Duncan Bridge,Peter,Walsh,19,None,Single,Male,University Student,None,None
219,26,Duncan Bridge,Ian,Connolly,22,None,Single,Male,University Student,None,None
220,26,Duncan Bridge,Sally,Lawrence,19,None,Single,Female,University Student,None,Methodist
221,27,Duncan Bridge,Amanda,Edwards,40,Head,Married,Female,Academic librarian,None,Christian
222,27,Duncan Bridge,Toby,Edwards,37,Husband,Married,Male,Health visitor,None,Christian
223,27,Duncan Bridge,Harry,Edwards,5,Son,NA,Male,Student,None,NA
224,27,Duncan Bridge,Jessica,Hamilton-Edwards,3,Daughter,NA,Female,Child,None,NA
225,28,Duncan Bridge,Patricia,Gardiner,70,Head,Married,Female,Retired Sub,None,Christian
226,28,Duncan Bridge,Nicholas,Gardiner,72,Husband,Married,Male,Retired Water engineer,None,None
227,29,Duncan Bridge,Lynne,McCarthy,54,Head,Single,Female,Garment/textile technologist,None,None
228,29,Duncan Bridge,Jade,Ali,35,None,Single,Female,Financial risk analyst,None,None
229,29,Duncan Bridge,Lorraine,Brown,26,None,Single,Female,Marine scientist,None,None
230,29,Duncan Bridge,Daniel,James,38,None,Single,Male,Dance movement psychotherapist,None,Methodist
231,30,Duncan Bridge,Sally,Sharp,45,Head,Single,Female,"Therapist, drama",None,Christian
232,30,Duncan Bridge,Dean,Ross,48,Partner,Single,Male,Chartered public finance accountant,None,Christian
233,30,Duncan Bridge,Mandy,Sharp,15,Daughter,NA,Female,Student,None,NA
234,30,Duncan Bridge,Mohammad,Sharp,12,Son,NA,Male,Student,None,NA
235,30,Duncan Bridge,Katy,Allen,11,Daughter,NA,Female,Student,None,NA
236,30,Duncan Bridge,Nicholas,Allen,8,Son,NA,Male,Student,None,NA
237,30,Duncan Bridge,Sheila,Allen,4,Daughter,NA,Female,Child,None,NA
238,31,Duncan Bridge,Vanessa,Doyle,59,Head,Divorced,Female,"Engineer, maintenance (IT)",None,Christian
239,31,Duncan Bridge,Brian,Doyle,35,Son,Single,Male,"Surveyor, insurance",None,None
240,31,Duncan Bridge,Steven,Doyle,30,Son,Single,Male,Automotive engineer,None,None
241,31,Duncan Bridge,Margaret,Doyle,29,Daughter,Single,Female,Psychotherapist,None,None
242,32,Duncan Bridge,Diane,Williams,44,Head,Married,Female,Catering manager,None,Christian
243,32,Duncan Bridge,Andrew,Williams,45,Husband,Married,Male,"Therapist, sports",None,None
244,32,Duncan Bridge,Holly,Williams,2,Daughter,NA,Female,Child,Physical Disability,NA
245,32,Duncan Bridge,Kate,Kennedy,61,Lodger,Single,Female,"Programmer, systems",None,None
246,33,Duncan Bridge,Emily,Smith,63,Head,Divorced,Female,Customer service manager,None,Methodist
247,33,Duncan Bridge,Charles,Smith,28,Son,Divorced,Male,Visual merchandiser,None,Methodist
248,33,Duncan Bridge,Craig,Smith,25,Son,Single,Male,Engineering geologist,None,None
249,33,Duncan Bridge,Sally,Smith,23,Daughter,Single,Female,"Scientist, biomedical",None,None
250,34,Duncan Bridge,Anthony,Pollard,31,Head,Married,Male,Biomedical scientist,None,Christian
251,34,Duncan Bridge,Tracey,Pollard,29,Wife,Married,Female,Heritage manager,None,Christian
252,34,Duncan Bridge,Helen,Payne,11,Neice,NA,Female,Student,None,NA
253,34,Duncan Bridge,Clive,Payne,8,Nephew,NA,Male,Student,None,NA
254,35,Duncan Bridge,Louise,Martin,55,Head,Married,Female,Charity officer,None,Methodist
255,35,Duncan Bridge,Joshua,Martin,58,Husband,Married,Male,Unemployed,None,Methodist
256,35,Duncan Bridge,Mary,Martin,23,Daughter,Single,Female,Manufacturing engineer,None,Methodist
257,35,Duncan Bridge,Kim,Martin,20,Daughter,Single,Female,University Student,None,None
258,35,Duncan Bridge,Jordan,Martin,16,Son,NA,Male,Student,None,NA
259,35,Duncan Bridge,Kirsty,Martin,13,Daughter,NA,Female,Student,None,NA
260,36,Duncan Bridge,Russell,Hill,48,Head,Married,Male,"Teacher, adult education", ,None
261,36,Duncan Bridge,Jean,Hill,47,Wife,Married,Female,Broadcast presenter,None,None
262,36,Duncan Bridge,Maria,Hill,16,Daughter,NA,Female,Student,None,NA
263,37,Duncan Bridge,Declan,Moore,34,Head,Married,Male,Public relations officer,None,Catholic
264,37,Duncan Bridge,Julia,Moore,32,Wife,Married,Female,"Accountant, chartered public finance",None,None
265,37,Duncan Bridge,Liam,Moore,0,Son,NA,Male,Child,None,NA
266,37,Duncan Bridge,Kimberley,Jones,58,Cousin,Divorced,Female,English as a second language teacher,None,Catholic
267,38,Duncan Bridge,Kayleigh,Brown,42,Head,Married,Female,Firefighter,None,Christian
268,38,Duncan Bridge,David,Brown,45,Husband,Married,Male,"Surveyor, quantity",None,Christian
269,38,Duncan Bridge,Jason,Brown,15,Son,NA,Male,Student,None,NA
270,38,Duncan Bridge,Annette,Brown,11,Daughter,NA,Female,Student,None,NA
271,39,Duncan Bridge,Frank,Jones,59,Head,Married,Male,"Journalist, magazine",None,None
272,39,Duncan Bridge,Jean,Jones,59,Wife,Married,Female,Contractor,None,None
273,40,Duncan Bridge,Lesley,Wood,44,Head,Married,Female,Energy engineer,None,Catholic
274,40,Duncan Bridge,Mohammed,Wood,43,Husband,Married,Male,Corporate investment banker,None,Catholic
275,40,Duncan Bridge,Tracy,Wood,20,Daughter,Single,Female,"Scientist, research (maths)",None,None
276,40,Duncan Bridge,Sean,Wood,19,Son,Single,Male,University Student,None,Catholic
277,41,Duncan Bridge,Angela,Spencer,61,Head,Single,Female,Diplomatic Services operational officer,None,Christian
278,41,Duncan Bridge,Zoe,Spencer,28,Daughter,Single,Female,Unemployed,None,Christian
279,41,Duncan Bridge,Wendy,Spencer,26,Daughter,Single,Female,"Engineer, civil (consulting)",None,Christian
280,41,Duncan Bridge,Danny,Spencer,25,Son,Single,Male,Conference centre manager,None,None
281,42,Duncan Bridge,Roy,Booth,51,Head,Single,Male,Child psychotherapist,None,Christian
282,42,Duncan Bridge,Louis,Booth,4,Step-Son,NA,Male,Child,None,NA
283,42,Duncan Bridge,Stewart,Booth,1,Step-Son,NA,Male,Child,None,NA
284,42,Duncan Bridge,Philip,King,55,Lodger,Single,Male,Materials engineer,None,Christian
285,43,Duncan Bridge,Norman,Gill,66,Head,Married,Male,"Presenter, broadcasting",None,Christian
286,43,Duncan Bridge,Dorothy,Gill,61,Wife,Married,Female,Retail merchandiser,None,Christian
287,43,Duncan Bridge,Connor,Williams,17,Grandson,NA,Male,Student,None,NA
288,44,Duncan Bridge,Rita,Smith,44,Head,Single,Female,Unemployed,None,Catholic
289,44,Duncan Bridge,Ruth,Smith,11,Daughter,NA,Female,Student,None,NA
290,44,Duncan Bridge,Danny,Smith,3,Son,NA,Male,Child,None,NA
291,44,Duncan Bridge,Janice,Smith,3,Daughter,NA,Female,Child,None,NA
292,45,Duncan Bridge,Hazel,Doyle,63,Head,Married,Female,Music tutor,None,None
293,45,Duncan Bridge,Charlie,Doyle,65,Husband,Married,Male,Chiropractor,None,None
294,45,Duncan Bridge,Dennis,Doyle,21,Son,Divorced,Male,University Student,None,None
295,46,Duncan Bridge,Louise,Watkins,36,Head,Single,Female,Visual merchandiser,None,None
296,46,Duncan Bridge,Tom,Watkins,9,Son,NA,Male,Student,None,NA
297,47,Duncan Bridge,Rosemary,Peters,61,Head,Single,Female,"Copywriter, advertising",None,Christian
298,47,Duncan Bridge,Mitchell,Smith,62,Partner,Single,Male,Volunteer coordinator,None,Christian
299,47,Duncan Bridge,Natalie,Peters,27,Daughter,Single,Female,"Therapist, speech and language",None,Christian
300,47,Duncan Bridge,Jacqueline,Kelly-Peters,24,Daughter,Single,Female,Media planner,None,None
301,47,Duncan Bridge,Norman,Riley,20,Son,Single,Male,University Student,None,Christian
302,47,Duncan Bridge,Sean,Riley,17,Son,NA,Male,Student,None,NA
303,48,Duncan Bridge,Patricia,Armstrong,42,Head,Single,Female,Associate Professor,None,None
304,48,Duncan Bridge,Damien,Waters,43,Partner,Single,Male,Unemployed,None,None
